1,2,3,4,5
1,1,1,6038.47831314853,4497.73913870824
1,2,1,5324.46963490138,6499.92829771989
1,3,1,6181.85488637508,4617.84712616882
1,4,1,6314.57509879562,5962.2533864125
1,5,1,5668.18586245325,3720.68672380392
1,6,1,6554.74245829983,4643.21358030063
1,7,1,6174.93313013532,3520.7001472603
1,8,1,6076.47742954895,5676.18283282602
1,9,1,5497.51931508656,4890.66678071494
1,10,1,6551.10875536734,4385.80310489358
1,11,1,5940.26961447213,3543.25113895756
1,12,1,6279.80882546264,6866.03457915259
1,13,1,5997.0576406101,6589.84249366868
1,14,1,6098.15904999908,4117.9776832332
1,15,1,5949.68066841791,6595.65978056943
1,16,1,4889.95993507578,4301.99088381262
1,17,1,6313.84579624028,7932.02924239243
1,18,1,5744.5881165614,8777.31423820683
1,19,1,5896.11459938738,6432.9349369882
1,20,1,5645.68228931785,3283.76272809341
1,21,1,7007.87436882281,4528.2563082734
1,22,1,7516.0247874374,7147.00768255324
1,23,1,5540.14500978395,5308.59208458219
1,24,1,5343.2915084273,7285.31622338096
1,25,1,5340.78464658633,3210.51861527417
1,26,1,4567.54775683372,6030.61015997714
1,27,1,7335.05546405706,5127.15668901209
1,28,1,5505.29136773596,3474.04420671641
1,29,1,5637.53676466605,6284.61928252024
1,30,1,6284.12159277389,7453.01566926777
1,31,1,5453.64346445257,7298.3757067254
1,32,1,6485.00434523171,7638.93352859263
1,33,1,5613.9694975335,3590.52433383644
1,34,1,6320.84806989982,3666.08655095011
1,35,1,5669.43736080778,3652.90457168775
1,36,1,6652.52057350932,5702.29061375216
1,37,1,6221.63777166086,4221.86788877165
1,38,1,6909.49112966331,6980.1332717128
1,39,1,6297.66174471475,5956.00826124165
1,40,1,4745.73812175308,4375.52842012861
1,41,1,6455.07441370972,6517.11487196772
1,42,1,6770.62615059571,4713.73336749335
1,43,1,4891.83093895655,7295.57978290322
1,44,1,5375.48093242663,4129.67409450326
1,45,1,5729.8132664273,3622.17271672604
1,46,1,7001.33451512708,5353.77598104828
1,47,1,5864.1898900041,8193.58747442625
1,48,1,5526.02984722674,3999.52418688316
1,49,1,6413.36203013793,8173.11105242781
1,50,1,6221.40859772663,4288.35731244183
1,51,1,7085.89442759087,5444.34602109334
1,52,1,6494.13257666763,3966.77732685194
1,53,1,6928.39111727663,3323.69242999259
1,54,1,5198.58399019812,3734.72164975822
1,55,1,6381.28157890943,7675.84899879373
1,56,1,5556.54478717757,6689.64161648197
1,57,1,7172.34769160608,5646.20601962465
1,58,1,5195.99197911555,5931.47241586957
1,59,1,7385.70294615402,3648.25827044572
1,60,1,6128.84980646783,4006.2018971738
1,61,1,5353.97995286953,4587.81509252828
1,62,1,5608.82046980246,8143.65771515988
1,63,1,5817.12044716771,4280.76016844098
1,64,1,5788.35063960245,3516.86528401617
1,65,1,6215.67466240699,6661.5357790472
1,66,1,7116.75705143312,5437.49812568408
1,67,1,5596.41096910659,4138.1497498455
1,68,1,6014.20061237423,4328.26056802607
1,69,1,6359.65369862614,3799.55620996827
1,70,1,6398.15770207407,7466.2693713176
1,71,1,5387.03494349623,6351.37816384292
1,72,1,6864.23065379893,6636.9014547721
1,73,1,6533.4567058226,3483.27074812035
1,74,1,5678.10607138713,8159.28680494832
1,75,1,5832.6715135279,5551.04888436612
1,76,1,5990.61301607416,3202.9330228031
1,77,1,6336.16964025901,6454.92495376099
1,78,1,6651.52798509663,5688.88132544648
1,79,1,5026.66966363615,5318.24649833274
1,80,1,6538.24608250172,5648.48782158803
1,81,1,5731.89726614235,3852.97044524134
1,82,1,6346.35482540326,4840.28669732243
1,83,1,6385.23149503135,5430.16800139783
1,84,1,6567.17475977286,4279.81853549118
1,85,1,7926.5056098299,4350.10265421403
1,86,1,5502.4897398467,8131.77352323434
1,87,1,5784.21998859317,4502.54184117853
1,88,1,4865.50472970012,6232.36450271392
1,89,1,5694.39482003692,4574.76569162566
1,90,1,5592.21732182837,7042.72158602781
1,91,1,6313.70480370529,4819.47958084761
1,92,1,6764.87112403932,6113.68499590078
1,93,1,5559.54498751797,3076.89149878257
1,94,1,5702.5149690269,4573.81461501424
1,95,1,6778.54931654747,3474.93922414891
1,96,1,7409.04420149363,3274.84764445839
1,97,1,5329.48918210044,3678.84771924103
1,98,1,5744.63637530437,6276.37043339968
1,99,1,5860.23095857602,8661.37922118632
1,100,1,5798.29989168041,6858.48550977737
1,101,1,5214.90300169819,8402.38692956316
1,102,1,7794.57772308897,7250.12306111094
1,103,1,5835.67184082647,3190.54022434324
1,104,1,5034.47597306802,6355.61300825591
1,105,1,6094.29769974233,4552.85378765681
1,106,1,6398.37534892716,6894.96819361202
1,107,1,7829.57729788363,6241.41443635453
1,108,1,4757.25215916365,5334.78472092144
1,109,1,4152.54536349759,5632.91748913139
1,110,1,6309.79505243493,6910.48065153329
1,111,1,6022.54771409529,8022.95574316648
1,112,1,7113.85280693326,5645.8483056161
1,113,1,5241.6217819685,6314.52001882495
1,114,1,5820.50242077983,8221.60743738686
1,115,1,7583.24826774241,8625.27408752668
1,116,1,5707.64716333654,3945.03492169043
1,117,1,7466.69966897309,3403.03200263261
1,118,1,5496.67355068106,5870.37694607509
1,119,1,6223.99550566956,5139.08840919179
1,120,1,5781.30973033489,5732.04455525783
1,121,1,5713.53315692761,3570.22428169478
1,122,1,5963.56741010152,3299.38496635764
1,123,1,6375.48073132476,4324.17939734819
1,124,1,4955.73214651594,3563.7488297755
1,125,1,6390.22356868841,3424.76218780705
1,126,1,6090.18882248669,5715.62595553074
1,127,1,5853.44186256065,4016.903934202
1,128,1,4835.40469679973,4172.91667249744
1,129,1,6364.41033113536,4680.3347676474
1,130,1,5459.52515639379,8226.52097587717
1,131,1,7353.92031763992,3882.4692548018
1,132,1,5479.78294086563,4648.26138153505
1,133,1,5207.61483162834,4113.59323522168
